GroupId,Source,Time,Home,Away
"1","FlashScore","16:00","Cotonsport","Dynamo Douala"
"1","Betika","18:00","Coton Sport","Dynamo de Douala"
"1","SportPesa","18:00","Cotonsport","Dynamo de Douala"
"2","FlashScore","18:00","Gazelle","Aigle Royal"
"2","Betika","16:00","Gazelle","Aigle Royal"
