Time,Home,Away,Status
"01:00","America Cali W","Orsomarso SC","Scheduled"
"01:00","Atl. Nacional W","Millonarios W","Scheduled"
"01:30","Joinville","Sao Bernardo FC","Scheduled"
"01:45","CA Independiente Avellaneda","Union de Santa Fe","Scheduled"
"01:45","CA Tigre","Velez Sarsfield","Scheduled"
"02:00","Philadelphia Union","America","Scheduled"
"02:00","River EC RR","Monte Roraima RR","Scheduled"
"02:00","Cristal","Ypiranga AP","Scheduled"
"02:20","Bucaramanga","Deportivo Pereira","Scheduled"
"03:00","Cartagena","Palmira","Scheduled"
"03:00","Indep. Medellin","Estudiantes de Merida U20","Scheduled"
"03:30","Mirassol","Santos SP","Scheduled"
"03:30","Botafogo RJ","Barcelona SC","Scheduled"
"03:30","Ponte Preta","Guarany RS","Scheduled"
"04:00","Newells Old Boys","CA Platense","Scheduled"
"04:00","CA Sarmiento Junin","Racing Club Avellaneda","Scheduled"
"04:00","CF Monterrey","Cruz Azul","Scheduled"
"04:05","Guadalajara Women","Club America Women","Scheduled"
"04:30","Junior","Nacional Medellin","Scheduled"
"04:30","Choloma","Marathon","Scheduled"
"06:00","Los Angeles FC","Alajuelense","Scheduled"
"10:00","Don Bosco Garelli United","Philippine Army","Scheduled"
"12:00","Brisbane City FC","Olympic FC Brisbane","Scheduled"
"12:30","Rochedale Rovers","Queensland Lions FC","Scheduled"
"12:30","Queensland Lions FC","Moreton City Excelsior FC","Scheduled"
"12:30","Ispe FC","Dagon Port FC","Scheduled"
"12:45","Maharlika Taguig FC","Davao Aguilas","Scheduled"
"13:00","Hiroshima","Johor Darul Ta'zim","Scheduled"
"13:00","Vissel Kobe","Seoul","Scheduled"
"13:00","Erbaaspor","Kepez Spor Futbol AS","Scheduled"
"13:30","Istanbulspor","Amed Sportif Faaliyetler","Scheduled"
"13:30","Hatayspor","Sivasspor","Scheduled"
"13:30","24 Erzincanspor","Tuzlaspor","Scheduled"
"13:30","Adana 01 FK","Ankaraspor","Scheduled"
"14:00","Simal","Safa","Scheduled"
"14:00","Elche Ilicitano","Getafe B","Scheduled"
"14:00","Wisla Krakow","Resovia U19","Scheduled"
"14:00","Gareji Sagarejo","Dusheti","Scheduled"
"14:00","Samtredia","FC Gori","Scheduled"
"14:00","Sioni Bolnisi","SFC Shturmi Sartichala","Scheduled"
"14:00","Merani Martvili","Odishi","Scheduled"
"14:30","FK Termez Surkhon","FC Bunyodkor","Scheduled"
"15:00","FC Hegelmann Kaunas","FA Siauliai","Scheduled"
"15:00","Kolkheti Poti","Telavi","Scheduled"
"15:15","Ratchaburi","Gamba Osaka","Scheduled"
"15:30","Taguig FC","Stallion Laguna FC","Scheduled"
"15:30","Ankaragucu","Kastamonuspor","Scheduled"
"16:00","Umraniyespor","Erzurumspor","Scheduled"
"16:00","Real Murcia","Villarreal U19","Scheduled"
"16:00","Mufulira Wanderers","Prison Leopards","Scheduled"
"16:00","Red Arrows","Kansanshi Dynamos","Scheduled"
"16:00","Jezero","FK Decic","Scheduled"
"16:00","Mutondo Stars","Nkana FC","Scheduled"
"16:30","Yogyakarta","Persijap Jepara","Scheduled"
"16:30","Casric Stars FC","Pretoria University FC","Scheduled"
"16:30","FK Transinvest","FK Banga","Scheduled"
"16:30","FK Bokelj","FK Mornar","Scheduled"
"17:00","FK Sutjeska Niksic","FK Arsenal Tivat","Scheduled"
"17:00","Rzeszow","Znicz Pruszkow","Scheduled"
"17:00","Escola Varsovia Warszawa","Gornik Zabrze","Scheduled"
"17:00","Fuzinar Ravne","Aluminij Kidricevo","Scheduled"
"17:30","Lokomotiv Tashkent","FK Kokand 1912","Scheduled"
"17:30","Petrovac","OFK Mladost DG","Scheduled"
